date,real_yield,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
2025-01-21,0.016477,0.016575513,0.016517887,0.016552827,0.026987157,0.017109729,0.023071505,0.020421766,0.016999046,0.016645883,0.016680746661803
2025-01-22,0.016525,0.016558234,0.01659523,0.016637133,0.026943065,0.017131775,0.02309562,0.020449116,0.017047046,0.016638696,0.016486525612817146
2025-01-23,0.016572,0.016510397,0.016579458,0.016605435,0.026954323,0.017136525,0.02308517,0.02044897,0.017094046,0.016732292,0.016531951596666934
2025-01-24,0.01665,0.016766218,0.016675972,0.016603075,0.026965345,0.017188429,0.023091408,0.020452675,0.017172046,0.016793628,0.01655977672101379
2025-01-27,0.016306,0.016259369,0.016300234,0.016363499,0.026983639,0.017000561,0.023068919,0.020415645,0.016828046,0.01648812,0.01665534365462038
2025-02-05,0.016215,0.016147124,0.016215851,0.01629934,0.026902961,0.016849043,0.02303849,0.02040444,0.016737046,0.016395424,0.0163007047499768
2025-02-06,0.016046,0.016140808,0.01606175,0.016188238,0.026881619,0.016638184,0.023048895,0.020380946,0.016568046,0.016194203,0.016215142977830298
2025-02-07,0.016032,0.016222542,0.016065732,0.01610786,0.026841984,0.016617427,0.023064662,0.020344374,0.016554046,0.016145587,0.016017386894025508
2025-02-10,0.016271,0.016289959,0.016326671,0.016197226,0.0268387,0.016786593,0.023105029,0.020331214,0.016793046,0.016293966,0.016024805053168098
2025-02-11,0.01617,0.016175572,0.016224808,0.01622634,0.026894753,0.016843247,0.02312298,0.020322308,0.016692046,0.016213338,0.016266385825740092
2025-02-12,0.016275,0.016323752,0.016354679,0.016337676,0.026871065,0.016921233,0.023113237,0.020340593,0.016797046,0.016301151,0.01617109230070886
2025-02-13,0.016291,0.016432246,0.016325838,0.016370639,0.026895691,0.016895948,0.023115173,0.020348906,0.016813046,0.016355377,0.016292978689625773
2025-02-14,0.016488,0.016614934,0.016534798,0.016499235,0.026899443,0.017024052,0.023146781,0.020371395,0.017010046,0.016544734,0.01628568643850677
2025-02-17,0.01686,0.016651653,0.016899151,0.016707199,0.026945645,0.017259191,0.023166537,0.020416564,0.017382046,0.01682551,0.016500051926206197
2025-02-18,0.017001,0.016818016,0.017037106,0.016990831,0.02703289,0.017397747,0.023169707,0.020504817,0.017523046,0.017014727,0.016871681764069637
2025-02-19,0.01689,0.016803974,0.016944451,0.016967452,0.027065958,0.017313898,0.023186104,0.020535576,0.017412046,0.016885781,0.017022136154290955
2025-02-20,0.016905,0.017050033,0.016935159,0.017014084,0.027039925,0.017249201,0.023141997,0.020577852,0.017427046,0.017063834,0.016911753811117345
2025-02-21,0.017085,0.017217604,0.017117623,0.017122486,0.027043443,0.017379854,0.023147358,0.020614944,0.017607046,0.017279638,0.0169119472221613
2025-02-24,0.017702,0.017516621,0.017756111,0.017479163,0.027085658,0.017773515,0.023179584,0.020692199,0.018224046,0.017835424,0.017080783150377768
2025-02-25,0.01739,0.017331935,0.017439835,0.017434259,0.027230362,0.01773325,0.023157636,0.020717818,0.017912046,0.017583499,0.017720944468717612
2025-02-26,0.017268,0.017422164,0.017340873,0.017378758,0.027157189,0.017646911,0.023151303,0.020733516,0.017790046,0.017451072,0.01739925502112623
2025-02-27,0.017531,0.017689701,0.017566568,0.017558042,0.027128577,0.017691933,0.023143605,0.020785381,0.018053046,0.017677199,0.01730221992258263
2025-02-28,0.017236,0.017521109,0.017287181,0.017387637,0.027190258,0.017603755,0.023146873,0.020752819,0.017758046,0.017449324,0.017513649372718362
2025-03-03,0.017015,0.017103477,0.017092933,0.017026888,0.027121072,0.01745115,0.023141585,0.02066134,0.017537046,0.017212855,0.017222069937326626
2025-03-04,0.017077,0.017058414,0.017088896,0.017080368,0.027069241,0.017422597,0.02311522,0.02065723,0.017599046,0.01731568,0.01702295542623697
2025-03-05,0.017078,0.017259046,0.017124597,0.01715364,0.027083782,0.017459722,0.023142652,0.02065802,0.017600046,0.01726668,0.017057718220098227
2025-03-06,0.017455,0.017609349,0.017528926,0.017359776,0.027084017,0.017679457,0.023144512,0.02068153,0.017977046,0.017616158,0.01706475696034567
2025-03-07,0.018005,0.018112369,0.018056056,0.017863937,0.027172434,0.018083607,0.023166331,0.020772304,0.018527046,0.018183987,0.01746887788338869
2025-03-10,0.018153,0.018147873,0.018277372,0.018070905,0.027301424,0.018414768,0.023184586,0.020810865,0.018675046,0.018277434,0.01802468587464915
2025-03-11,0.018804,0.018645594,0.01892445,0.0186779,0.027336134,0.019032741,0.023192897,0.020976625,0.019326046,0.01888114,0.01818793779230549
2025-03-12,0.018431,0.018622749,0.018531312,0.018640566,0.027488812,0.018807708,0.02316437,0.021031566,0.018953046,0.018458999,0.018861654320795004
2025-03-13,0.01855,0.018737994,0.018674629,0.018593982,0.027401333,0.018813645,0.023170173,0.021056708,0.019072046,0.018543841,0.018435561399457706
2025-03-14,0.018308,0.018384798,0.018296684,0.018383815,0.027429242,0.018460589,0.023134904,0.021056253,0.018830046,0.018402829,0.018589280965319678
2025-03-17,0.018978,0.019087731,0.019059254,0.018866911,0.027372486,0.019034804,0.023177909,0.021178757,0.019500046,0.019062006,0.01827425399247879
2025-03-18,0.01888,0.018683713,0.018926081,0.018797257,0.02752962,0.019038635,0.023121509,0.021189862,0.019402046,0.018993879,0.01899740660995195
2025-03-19,0.018782,0.019102104,0.018859738,0.018911296,0.027506636,0.019023604,0.023163286,0.021242527,0.019304046,0.018943489,0.018870919562884985
2025-03-20,0.01831,0.018811229,0.01843114,0.018548674,0.027483652,0.018607623,0.023106947,0.021166393,0.018832046,0.018578643,0.018822351015281416
2025-03-21,0.018455,0.018701917,0.018575171,0.018577137,0.027372955,0.018604812,0.023123323,0.021141506,0.018977046,0.018685354,0.018289868338188565
2025-03-24,0.018404,0.018542681,0.018439456,0.018389559,0.027406961,0.018638923,0.023117417,0.021073392,0.018926046,0.018631731,0.01844544240668512
2025-03-25,0.018182,0.018416314,0.018249027,0.018151461,0.027395001,0.018517417,0.023129086,0.020987806,0.018704046,0.018478992,0.018375826938910066
2025-03-26,0.017935,0.017941802,0.01793263,0.01802887,0.027342935,0.018337658,0.023102149,0.020946901,0.018457046,0.018211125,0.01818690714240437
2025-03-27,0.018067,0.018231461,0.018092328,0.018129465,0.027285007,0.018349406,0.023114173,0.020936274,0.018589046,0.018229921,0.017923781340912756
2025-03-28,0.018113,0.01835293,0.018203217,0.01821587,0.027315965,0.018363982,0.023132343,0.020925099,0.018635046,0.018299303,0.018054859996021074
2025-03-31,0.018182,0.018153735,0.018255151,0.018146924,0.027326753,0.018459893,0.023130921,0.020866026,0.018704046,0.01835176,0.018101583611778393
2025-04-01,0.018093,0.018202229,0.018198235,0.01817814,0.027342935,0.018459462,0.023117408,0.020856598,0.018615046,0.018345147,0.0181931269517038
2025-04-02,0.01786,0.017968067,0.017960429,0.018051788,0.027322062,0.018363687,0.023083889,0.02082854,0.018382046,0.018064743,0.018095402493413928
2025-04-03,0.017158,0.017483245,0.017219737,0.017537529,0.027267417,0.017868053,0.023074995,0.020719361,0.017680046,0.01733513,0.01785785815274218
2025-04-07,0.016313,0.01681424,0.016384287,0.01670225,0.027102779,0.017244894,0.023065251,0.020501453,0.016835046,0.016620085,0.017131244952305513
2025-04-08,0.016637,0.016744844,0.01665009,0.016617988,0.026904603,0.017258673,0.023070994,0.020408532,0.017159046,0.017038282,0.01626126208184646
2025-04-09,0.016532,0.016556615,0.016595582,0.016543185,0.02698059,0.017337609,0.023083738,0.020333517,0.017054046,0.016895783,0.01659466750523673
2025-04-10,0.016469,0.016478919,0.016562661,0.016515269,0.026955964,0.017348195,0.023089405,0.02028589,0.016991046,0.016760301,0.01648861398578204
2025-04-11,0.016531,0.016671593,0.016617332,0.016580431,0.026941189,0.017361291,0.023067783,0.020267573,0.017053046,0.016755536,0.016489160715458626
2025-04-14,0.016533,0.016851429,0.016614887,0.016723883,0.02695573,0.017438907,0.023096177,0.020277725,0.017055046,0.016767467,0.01652824112593038
2025-04-15,0.016569,0.016551414,0.016684128,0.016603893,0.026956199,0.017518234,0.023072656,0.020233559,0.017091046,0.016822954,0.016532649270208144
2025-04-16,0.016382,0.016283916,0.01642291,0.016455658,0.026964642,0.017310986,0.023079528,0.020208968,0.016904046,0.016702305,0.016572517487667554
2025-04-17,0.016501,0.016358855,0.01652701,0.016468977,0.026920785,0.01725587,0.023054975,0.020226587,0.017023046,0.016910033,0.01637761392985923
2025-04-18,0.016476,0.016340732,0.016449748,0.01649525,0.026948694,0.017175043,0.023088988,0.020269806,0.016998046,0.01693342,0.016503517995307852
2025-04-21,0.016587,0.016546773,0.016581126,0.016684022,0.026942831,0.017232371,0.023084179,0.020344632,0.017109046,0.017054579,0.01646605459878825
2025-04-22,0.016491,0.016317947,0.016503904,0.016530066,0.026968863,0.017095318,0.023063015,0.020319475,0.017013046,0.016933973,0.016597012336544998
2025-04-23,0.016597,0.016541196,0.016651518,0.016660965,0.026946349,0.01719062,0.023055293,0.020358531,0.017119046,0.017116875,0.016488458801080866
2025-04-24,0.016624,0.016550117,0.016664282,0.016673344,0.026971209,0.017306924,0.023080736,0.020378775,0.017146046,0.017199651,0.016605226787086477
2025-04-25,0.016607,0.016571258,0.016661557,0.016659543,0.026977541,0.01729188,0.023066611,0.020392304,0.017129046,0.017126464,0.016620085229228164
2025-04-28,0.016495,0.016408617,0.016444284,0.016514336,0.026973554,0.017208738,0.023040396,0.02038351,0.017017046,0.017062728,0.016613239662846672
2025-04-29,0.016186,0.016371564,0.016167289,0.016287621,0.026947287,0.017009929,0.023034846,0.020349913,0.016708046,0.016767876,0.01649270262388196
2025-04-30,0.016232,0.016050144,0.016231604,0.016272674,0.026874818,0.016920164,0.023053267,0.02034722,0.016754046,0.016620436,0.016174995335605385
2025-05-06,0.01627,0.016016726,0.016236972,0.016251756,0.026885606,0.016854213,0.023058974,0.020336341,0.016792046,0.016629226,0.01622185306977776
2025-05-07,0.016398,0.016478509,0.016455164,0.016376208,0.026894518,0.016938042,0.023070221,0.020357191,0.016920046,0.016761335,0.01625449829898125
2025-05-08,0.016283,0.016236354,0.016300703,0.016322281,0.026924538,0.016932038,0.023073315,0.020346924,0.016805046,0.016568936,0.01640591742296979
2025-05-09,0.016314,0.01639304,0.016366503,0.016421179,0.026897567,0.016968203,0.023063042,0.020364094,0.016836046,0.016620238,0.01628468137763204
2025-05-12,0.01673,0.016696978,0.016775189,0.016663326,0.026904837,0.017160509,0.023153899,0.020409323,0.017252046,0.0170105,0.01632104851827449
2025-05-13,0.016662,0.016739448,0.016709494,0.016691699,0.027002401,0.017204266,0.023154057,0.020424763,0.017184046,0.016952664,0.016734394827769557
2025-05-14,0.016702,0.016623643,0.016761438,0.01670216,0.026986453,0.017244613,0.02314429,0.02043972,0.017224046,0.017042322,0.016667982895674394
2025-05-15,0.016758,0.016653329,0.016767908,0.016787427,0.026995834,0.017199733,0.023163764,0.02047855,0.017280046,0.017125423,0.016725486858518625
2025-05-16,0.016765,0.016860293,0.016806806,0.01687682,0.027008968,0.017199854,0.023157475,0.020519671,0.017287046,0.017152475,0.016755190351274016
2025-05-19,0.016659,0.016702441,0.016674885,0.016708012,0.027010609,0.017118954,0.023084428,0.02049669,0.017181046,0.017040034,0.016767732465463772
2025-05-20,0.016817,0.016887908,0.016848026,0.016823736,0.026985749,0.017208518,0.023109575,0.020521256,0.017339046,0.017056963,0.01665813136383644
2025-05-21,0.016927,0.016847852,0.016946307,0.016903649,0.027022805,0.01732996,0.023146308,0.020538539,0.017449046,0.017098276,0.01682012568901873
2025-05-22,0.017104,0.017127414,0.017157649,0.017091673,0.027048603,0.017487257,0.023137318,0.020587182,0.017626046,0.017169648,0.01692593231172377
2025-05-23,0.017101,0.017188095,0.017121672,0.017146248,0.027090114,0.017519594,0.023135273,0.020612805,0.017623046,0.017173425,0.017119643478943035
2025-05-26,0.016939,0.017073747,0.016977949,0.017020037,0.027089411,0.017421178,0.023120475,0.020588213,0.017461046,0.017114565,0.017109428182640482
2025-05-27,0.017228,0.017191625,0.017254651,0.017194568,0.027051417,0.017563398,0.023144533,0.020627208,0.017750046,0.017236072,0.01694439184445422
2025-05-28,0.01693,0.016973708,0.01695687,0.017038374,0.027119196,0.017419545,0.023123797,0.020603444,0.017452046,0.017173355,0.01723182672158242
2025-05-29,0.016927,0.0169435,0.016989939,0.016966252,0.027049306,0.017339604,0.023135772,0.0205857,0.017449046,0.017341875,0.016916804363881623
2025-05-30,0.016713,0.016810466,0.016697048,0.016797612,0.027048603,0.017171408,0.023110365,0.020551051,0.017235046,0.017103171,0.016939051436336405
2025-06-03,0.016767,0.01707569,0.016835842,0.01687663,0.026998414,0.017231421,0.023109777,0.020551416,0.017289046,0.017178516,0.016690096203245016
2025-06-04,0.016707,0.016656279,0.016744754,0.016734908,0.027011078,0.017195463,0.023099533,0.020499792,0.017229046,0.017167629,0.016765793223457465
2025-06-05,0.016745,0.016901942,0.016793149,0.016805776,0.026997007,0.017255145,0.023109681,0.020493284,0.017267046,0.017158156,0.01669387184405856
2025-06-06,0.016562,0.016739337,0.016627239,0.01664935,0.027005919,0.017186319,0.023101869,0.02044422,0.017084046,0.016987702,0.0167496954941371
2025-06-09,0.016558,0.01665625,0.016606872,0.016651077,0.026963,0.017180796,0.023092775,0.020430416,0.017080046,0.016929203,0.016554819380561407
2025-06-10,0.016556,0.01665254,0.016579477,0.016634168,0.026962062,0.017174761,0.023065273,0.020416216,0.017078046,0.016924789,0.01655785459080852
2025-06-11,0.016469,0.016555348,0.016500818,0.016506717,0.026961593,0.017091197,0.023074383,0.020374331,0.016991046,0.016790306,0.016545304523207675
2025-06-12,0.016467,0.016423818,0.016481268,0.016515782,0.026941189,0.017090563,0.023035879,0.020371911,0.016989046,0.01680755,0.016467247047867964
2025-06-13,0.016435,0.016409277,0.016447159,0.016502699,0.02694072,0.01706709,0.022999882,0.020364535,0.016957046,0.016758264,0.016465613105562528
2025-06-16,0.016433,0.016462047,0.016477863,0.016526053,0.026933215,0.017031103,0.022963952,0.020367863,0.016955046,0.016720781,0.01642986925752159
2025-06-17,0.016379,0.016393015,0.016382551,0.016442867,0.026932746,0.017011814,0.022966246,0.020348716,0.016901046,0.016586801,0.01643255190020846
2025-06-18,0.016388,0.016510703,0.016423913,0.016457683,0.026920082,0.017034895,0.022953879,0.020347461,0.016910046,0.016605531,0.016375964796071577
2025-06-19,0.016426,0.016298746,0.016445849,0.016450437,0.026922192,0.017067594,0.022990962,0.020343653,0.016948046,0.016618054,0.016387582692241248
2025-06-20,0.016389,0.016358745,0.016386336,0.016454096,0.026931104,0.017051173,0.02295757,0.020352032,0.016911046,0.016582287,0.016424097617342585
2025-06-23,0.016375,0.016416883,0.016394586,0.016424253,0.026922427,0.017026402,0.022939376,0.020351413,0.016897046,0.016580516,0.016389455116906666
2025-06-24,0.016456,0.016376661,0.016439079,0.016469282,0.026919144,0.017048133,0.022978891,0.020364838,0.016978046,0.016680877,0.0163762505004617
2025-06-25,0.016506,0.016458033,0.016518477,0.016529216,0.02693814,0.017107385,0.022667309,0.020382637,0.017028046,0.016741603,0.016455738945881107
2025-06-26,0.016465,0.016385732,0.016472302,0.01650759,0.026949867,0.017071148,0.022669079,0.020387618,0.016987046,0.016687422,0.01650775815045919
2025-06-27,0.016456,0.016420789,0.016470348,0.016511031,0.026940251,0.017045333,0.022651084,0.020396758,0.016978046,0.016653611,0.016469332844440066
2025-06-30,0.016485,0.016489609,0.016479442,0.016526454,0.02693814,0.01705119,0.022676429,0.020407293,0.017007046,0.016714786,0.016457831986933825
2025-07-01,0.016446,0.01648035,0.016461266,0.016501295,0.026944942,0.017041326,0.022630705,0.020407258,0.016968046,0.016741465,0.016483009676577346
2025-07-02,0.016383,0.016339582,0.016379823,0.01643689,0.026935795,0.016992743,0.022623108,0.020397362,0.016905046,0.016641257,0.01644476460741885
2025-07-03,0.016398,0.016402261,0.01640253,0.016434005,0.02692102,0.016977791,0.022628606,0.020396149,0.016920046,0.016648923,0.01638239870639042
2025-07-04,0.016417,0.01643206,0.016421488,0.016458055,0.026924538,0.016994767,0.022645384,0.020402024,0.016939046,0.016650423,0.01639524545924861
2025-07-07,0.016396,0.016407675,0.016404316,0.016445296,0.026928994,0.016999452,0.022640099,0.020398785,0.016918046,0.016645258,0.016414265479032606
2025-07-08,0.016452,0.016445265,0.016464791,0.016474453,0.026924069,0.017020804,0.022663526,0.020401305,0.016974046,0.016674647,0.0163967979228722
2025-07-09,0.016446,0.016446593,0.016451381,0.016486746,0.026937202,0.017029414,0.022630393,0.020403467,0.016968046,0.016707705,0.016454320640424226
2025-07-10,0.016609,0.016596723,0.016632371,0.016608249,0.026935795,0.017131633,0.022801451,0.020428938,0.017131046,0.016842722,0.01644566178367331
2025-07-11,0.016615,0.016580548,0.016627242,0.016644367,0.026974023,0.017145058,0.02279088,0.020442596,0.017137046,0.01688401,0.016616092566322432
2025-07-14,0.016712,0.016699295,0.016733146,0.016725423,0.02697543,0.017199724,0.022791301,0.020465074,0.017234046,0.016986254,0.01661722272390838
2025-07-15,0.016586,0.016612964,0.016601161,0.016662061,0.026998179,0.01712516,0.02284041,0.020463389,0.017108046,0.016791701,0.016723690849995018
2025-07-16,0.016599,0.016646822,0.01662808,0.016679296,0.026968629,0.017116134,0.022828418,0.020473032,0.017121046,0.016841734,0.01658412601625226
2025-07-17,0.016606,0.016587623,0.016614402,0.016642051,0.026971678,0.017092848,0.022824784,0.02046734,0.017128046,0.016866157,0.016602444738977727
2025-07-18,0.016651,0.016711283,0.016668064,0.016677524,0.026973319,0.017137022,0.022839403,0.02047467,0.017173046,0.016902298,0.016598495091096448
2025-07-21,0.016747,0.016736071,0.016759307,0.016738307,0.026983873,0.017221087,0.022822396,0.020487625,0.017269046,0.01701647,0.016653206257337225
2025-07-22,0.016897,0.016882841,0.0169157,0.016891321,0.027006388,0.017335275,0.022812221,0.020520516,0.017419046,0.017149947,0.016750417363619634
2025-07-23,0.017073,0.017063972,0.017097097,0.017063861,0.027041567,0.017468281,0.022841425,0.020562672,0.017595046,0.017329861,0.016905239778997036
2025-07-24,0.017367,0.017350054,0.017401283,0.017298437,0.027082844,0.017667261,0.022887276,0.020619816,0.017889046,0.017604012,0.017085092087136586
2025-07-25,0.017302,0.017303977,0.017339934,0.017349918,0.027151795,0.017681612,0.022898088,0.020651348,0.017824046,0.017616713,0.017385602683035496
2025-07-28,0.017135,0.017150875,0.017180374,0.017232202,0.027136551,0.017562383,0.022899922,0.020646084,0.017657046,0.017443084,0.017314373879337475
2025-07-29,0.017496,0.017497222,0.01751923,0.01745861,0.027097385,0.017681085,0.023146568,0.020707829,0.018018046,0.017751245,0.017145006902533507
2025-07-30,0.017187,0.017317977,0.017214509,0.017298627,0.027182049,0.017546375,0.023131281,0.020690433,0.017709046,0.017553212,0.017496944267991726
2025-07-31,0.017045,0.017151004,0.017101236,0.017121316,0.02710958,0.017446567,0.02313648,0.02065509,0.017567046,0.017339871,0.01717517841843809
2025-08-01,0.017046,0.017130502,0.017059885,0.017099494,0.027076277,0.01739512,0.02309559,0.020644286,0.017568046,0.01736155,0.017057208267795377
2025-08-04,0.017089,0.017311427,0.017150194,0.017175701,0.027076512,0.017467749,0.023138022,0.020643316,0.017611046,0.017447147,0.017025468404272787
2025-08-05,0.017049,0.017140705,0.017105728,0.017056797,0.027086596,0.017496909,0.02312954,0.020600323,0.017571046,0.017376207,0.017082787732195272
2025-08-06,0.016998,0.017201923,0.017032599,0.01706831,0.027077215,0.017509708,0.023079091,0.020586408,0.017520046,0.017284375,0.01704858327087179
2025-08-07,0.016935,0.01704088,0.016985305,0.01699595,0.027065254,0.017478149,0.023067045,0.020550153,0.017457046,0.017271697,0.01699991898595671
2025-08-08,0.016893,0.016952457,0.016921413,0.016962936,0.027050479,0.017437158,0.023054928,0.020533142,0.017415046,0.017294906,0.01693062183488117
2025-08-11,0.017154,0.017246966,0.017188693,0.017146609,0.027040629,0.017575034,0.023109208,0.020561507,0.017676046,0.017466387,0.01688806441181968
2025-08-12,0.017284,0.017218913,0.017316869,0.017209128,0.027101841,0.017634948,0.023136703,0.020562475,0.017806046,0.017582825,0.017156025655396503
2025-08-13,0.017202,0.017165682,0.017238979,0.017268647,0.027132329,0.017654216,0.023148943,0.020586775,0.017724046,0.017504002,0.01728929179476886
2025-08-14,0.017337,0.017357866,0.017384037,0.017395308,0.027113098,0.017720329,0.023141156,0.020625166,0.017859046,0.017680032,0.017217383704752617
2025-08-15,0.01746,0.017493147,0.017519865,0.017525304,0.027144759,0.01774799,0.023148124,0.0206611,0.017982046,0.017729535,0.017345967426343728
2025-08-18,0.017889,0.017843452,0.017922432,0.017776539,0.027173606,0.018047323,0.023164686,0.020723892,0.018411046,0.01827429,0.017459593212102685
2025-08-19,0.017739,0.017841634,0.017792736,0.017765505,0.027274219,0.018069689,0.023150427,0.02074835,0.018261046,0.018117662,0.017908579280249703
2025-08-20,0.01785,0.017756633,0.017913186,0.017892621,0.02723904,0.018133265,0.023156118,0.020800682,0.018372046,0.018309521,0.017748653529635523
2025-08-21,0.017692,0.017694478,0.017691129,0.017793414,0.027265072,0.017984107,0.023134362,0.020808313,0.018214046,0.018201466,0.01787451771463328
2025-08-22,0.017846,0.018139247,0.017907969,0.017901576,0.027228017,0.018068139,0.023144395,0.020844745,0.018368046,0.018223154,0.017679739871049333
2025-08-25,0.017644,0.017615376,0.017643905,0.017658908,0.027264134,0.017966307,0.023120875,0.020794763,0.018166046,0.018025356,0.017852450169728494
